record_id,batch,source_file,page,source_task_id,source_order,task_title,raw_title,l1_scene,l2_skill,normalized_key,l1_scene_en,l2_skill_en,batch_label,task_title_en
batch2:011,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,H1,11,将橡胶塞压入空塑料试管并拔出,将橡胶塞压入空塑料试管并拔出（难度：易）,实验室,插入/拔出/对准,将橡胶塞压入试管并拔出,Laboratory,Insert / Remove / Align,Batch 2,Press a rubber stopper into an empty plastic test tube and remove it
batch2:012,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,H2,12,用试管夹夹住空试管并放入试管架,用试管夹夹住空试管并放入试管架（难度：易）,实验室,工具操作/装配/固定,用试管夹夹住试管并放入试管架,Laboratory,Tool Use / Assembly / Fixing,Batch 2,Use a test-tube holder to grip an empty test tube and place it in a rack
batch2:013,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,H3,13,用试管刷插入空试管并旋转后拔出,用试管刷插入空试管并旋转后拔出（难度：易）,实验室,插入/拔出/对准,用试管刷插入试管并旋转后拔出,Laboratory,Insert / Remove / Align,Batch 2,"Insert a test-tube brush into an empty test tube, rotate it, and remove it"
batch2:014,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,H4,14,用塑料滴管从烧杯吸水并滴入试管,用塑料滴管从烧杯吸水并滴入试管（难度：易）,实验室,移液/滴加/注射,用滴管从烧杯吸水并滴入试管,Laboratory,Pipette / Dispense / Inject,Batch 2,Use a plastic dropper to transfer water from a beaker into a test tube
batch2:015,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,H5,15,用塑料搅拌棒沿烧杯内壁搅动并取出,用塑料搅拌棒沿烧杯内壁搅动并取出（难度：易）,实验室,混合/搅拌/摇匀,用搅拌棒沿烧杯内壁搅动并取出,Laboratory,Mix / Stir / Agitate,Batch 2,Stir along the inner wall of a beaker with a plastic stirring rod and remove it
batch2:016,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,I1,16,将大于杯口的干海绵球压入空杯并取出,将大于杯口的干海绵球压入空杯并取出（难度：易）,厨房,插入/拔出/对准,将大于杯口的干海绵球压入杯并取出,Kitchen,Insert / Remove / Align,Batch 2,Compress a dry sponge ball through a cup opening and remove it
batch2:017,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,I2,17,按压软硬不同的海绵并分类,按压软硬不同的海绵并分类（难度：易）,通用交互/主动触觉,主动触觉/按压/分类,按压软硬不同的海绵并分类,General / Active Tactile,Active Tactile / Press / Classify,Batch 2,Press sponges of different stiffness and classify them
batch2:018,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,I3,18,捏压不透明软袋判断内容物可压缩性并分类,捏压不透明软袋判断内容物可压缩性并分类（难度：中）,通用交互/主动触觉,主动触觉/按压/分类,捏压不透明软袋判断内容物可压缩性并分类,General / Active Tactile,Active Tactile / Press / Classify,Batch 2,Squeeze opaque soft bags to judge compressibility and classify the contents
batch2:019,batch2,tacWAM_触觉数据采集第二批(1).pdf,3,I4,19,提举轻重不同的密封容器并分类,提举轻重不同的密封容器并分类（难度：易）,通用交互/主动触觉,主动触觉/按压/分类,提举轻重不同的密封容器并分类,General / Active Tactile,Active Tactile / Press / Classify,Batch 2,Lift sealed containers of different weights and classify them
batch2:020,batch2,tacWAM_触觉数据采集第二批(1).pdf,4,I5,20,在手中转动魔方一周,在手中转动魔方一周（难度：中）,通用交互/主动触觉,主动触觉/按压/分类,在手中转动魔方一周,General / Active Tactile,Active Tactile / Press / Classify,Batch 2,Rotate a Rubik’s Cube once in hand
batch3:001,batch3,触觉数据采集第三批任务清单(1).pdf,2,1,1,拾取烧杯并收纳至托盘,拾取烧杯并收纳至托盘,实验室,抓取/搬运/收纳,拾取烧杯并收纳至托盘,Laboratory,Pick / Move / Place,Batch 3,Pick up a beaker and place it in a tray
batch3:002,batch3,触觉数据采集第三批任务清单(1).pdf,2,2,2,拾取离心管并收纳至离心管盒,拾取离心管并收纳至离心管盒,实验室,抓取/搬运/收纳,拾取离心管并收纳至离心管盒,Laboratory,Pick / Move / Place,Batch 3,Pick up a centrifuge tube and place it in a tube box
batch3:003,batch3,触觉数据采集第三批任务清单(1).pdf,2,3,3,将胶头滴管、玻璃棒、注射器收纳至托盘,将胶头滴管、玻璃棒、注射器收纳至托盘,实验室,抓取/搬运/收纳,将胶头滴管、棒、注射器收纳至托盘,Laboratory,Pick / Move / Place,Batch 3,"Place a bulb dropper, glass rod, and syringe into a tray"
batch3:004,batch3,触觉数据采集第三批任务清单(1).pdf,2,4,4,扣合离心管连体盖并收纳到离心管盒中,扣合离心管连体盖并收纳到离心管盒中,实验室,开合/密封,扣合离心管连体盖并收纳到离心管盒中,Laboratory,Open / Close / Seal,Batch 3,Snap a hinged centrifuge-tube cap closed and place the tube in a tube box
batch3:005,batch3,触觉数据采集第三批任务清单(1).pdf,2,5,5,打开离心管连体盖,打开离心管连体盖,实验室,开合/密封,打开离心管连体盖,Laboratory,Open / Close / Seal,Batch 3,Open a hinged centrifuge-tube cap
batch3:006,batch3,触觉数据采集第三批任务清单(1).pdf,3,6,6,挤压并排空胶头滴管,挤压并排空胶头滴管,实验室,移液/滴加/注射,挤压并排胶头滴管,Laboratory,Pipette / Dispense / Inject,Batch 3,Squeeze and release an empty bulb dropper
batch3:007,batch3,触觉数据采集第三批任务清单(1).pdf,3,7,7,抽拉空注射器芯杆,抽拉空注射器芯杆,实验室,移液/滴加/注射,抽拉注射器芯杆,Laboratory,Pipette / Dispense / Inject,Batch 3,Pull out the plunger of an empty syringe
batch3:008,batch3,触觉数据采集第三批任务清单(1).pdf,3,8,8,将试管中的液体转移至烧杯,将试管中的液体转移至烧杯,实验室,液体倾倒/容器转移,将试管中的液体转移至烧杯,Laboratory,Pour / Container Transfer,Batch 3,Transfer liquid from a test tube into a beaker
batch3:009,batch3,触觉数据采集第三批任务清单(1).pdf,3,9,9,将烧杯中的液体倒入量筒,将烧杯中的液体倒入量筒,实验室,液体倾倒/容器转移,将烧杯中的液体倒入量筒,Laboratory,Pour / Container Transfer,Batch 3,Pour liquid from a beaker into a graduated cylinder
batch3:010,batch3,触觉数据采集第三批任务清单(1).pdf,3,10,10,将量筒中的液体倒入烧杯,将量筒中的液体倒入烧杯,实验室,液体倾倒/容器转移,将量筒中的液体倒入烧杯,Laboratory,Pour / Container Transfer,Batch 3,Pour liquid from a graduated cylinder into a beaker
batch3:011,batch3,触觉数据采集第三批任务清单(1).pdf,3,11,11,将烧杯中的液体用胶头滴管转移到离心管，并扣紧盖子收纳到离心管盒中,将烧杯中的液体用胶头滴管转移到离心管，并扣紧盖子收纳到离心管盒中,实验室,移液/滴加/注射,将烧杯中的液体用胶头滴管转移到离心管，并扣紧盖子收纳到离心管盒中,Laboratory,Pipette / Dispense / Inject,Batch 3,"Transfer liquid from a beaker to a centrifuge tube with a bulb dropper, close the cap, and store the tube"
batch3:012,batch3,触觉数据采集第三批任务清单(1).pdf,4,12,12,用试管夹夹取试管并轻微摇晃混匀,用试管夹夹取试管并轻微摇晃混匀,实验室,混合/搅拌/摇匀,用试管夹夹取试管并轻微摇晃混匀,Laboratory,Mix / Stir / Agitate,Batch 3,Grip a test tube with a holder and gently agitate it to mix
batch3:013,batch3,触觉数据采集第三批任务清单(1).pdf,4,13,13,用试管夹夹取试管并在试管架内更换孔位,用试管夹夹取试管并在试管架内更换孔位,实验室,插入/拔出/对准,用试管夹夹取试管并在试管架内更换孔位,Laboratory,Insert / Remove / Align,Batch 3,Use a test-tube holder to move a test tube to another rack position
batch3:014,batch3,触觉数据采集第三批任务清单(1).pdf,4,14,14,用注射器抽取烧杯中的液体注液入试管,用注射器抽取烧杯中的液体注液入试管,实验室,移液/滴加/注射,用注射器抽取烧杯中的液体注液入试管,Laboratory,Pipette / Dispense / Inject,Batch 3,Use a syringe to draw liquid from a beaker and dispense it into a test tube
batch3:015,batch3,触觉数据采集第三批任务清单(1).pdf,4,15,15,把离心管中的液体滴加到烧杯中并用玻璃棒搅拌,把离心管中的液体滴加到烧杯中并用玻璃棒搅拌,实验室,混合/搅拌/摇匀,把离心管中的液体滴加到烧杯中并用棒搅拌,Laboratory,Mix / Stir / Agitate,Batch 3,Add liquid from a centrifuge tube to a beaker and stir with a glass rod
batch4:001,batch4,第四批数据-补充了额外的数据(1).pdf,2,01,1,旋开玻璃试剂瓶盖并放置到托盘中,旋开玻璃试剂瓶盖并放置到托盘中,实验室,开合/密封,旋开试剂瓶盖并放置到托盘中,Laboratory,Open / Close / Seal,Batch 4,Unscrew a glass reagent-bottle cap and place it on a tray
batch4:002,batch4,第四批数据-补充了额外的数据(1).pdf,2,02,2,将玻璃漏斗安装到窄口玻璃试剂瓶,将玻璃漏斗安装到窄口玻璃试剂瓶,实验室,插入/拔出/对准,将漏斗安装到窄口试剂瓶,Laboratory,Insert / Remove / Align,Batch 4,Install a glass funnel in a narrow-neck glass reagent bottle
batch4:003,batch4,第四批数据-补充了额外的数据(1).pdf,3,03,3,将清洗后的玻璃试管倒置放入沥水架,将清洗后的玻璃试管倒置放入沥水架,实验室,清洗/擦拭/排液,将试管倒置放入沥水架,Laboratory,Rinse / Wipe / Drain,Batch 4,Invert a cleaned glass test tube onto a drying rack
batch4:004,batch4,第四批数据-补充了额外的数据(1).pdf,3,04,4,将清洗后的玻璃烧杯倒扣到沥水托盘,将清洗后的玻璃烧杯倒扣到沥水托盘,实验室,清洗/擦拭/排液,将烧杯倒扣到沥水托盘,Laboratory,Rinse / Wipe / Drain,Batch 4,Invert a cleaned glass beaker onto a drying tray
batch4:005,batch4,第四批数据-补充了额外的数据(1).pdf,3,05,5,拿起移液枪并空按操作按钮,拿起移液枪并空按操作按钮,实验室,移液/滴加/注射,拿起移液枪并按操作按钮,Laboratory,Pipette / Dispense / Inject,Batch 4,Pick up a pipette and press the plunger through both stops
batch4:006,batch4,第四批数据-补充了额外的数据(1).pdf,4,01,6,使用1 mL移液枪安装枪头、吸取烧杯液体并向玻璃试管加样,使用1 mL移液枪安装枪头、吸取烧杯液体并向玻璃试管加样,实验室,移液/滴加/注射,使用移液枪安装枪头、吸取烧杯液体并向试管加样,Laboratory,Pipette / Dispense / Inject,Batch 4,"Attach a tip to a 1 mL pipette, aspirate from a beaker, and dispense into a glass test tube"
batch4:007,batch4,第四批数据-补充了额外的数据(1).pdf,4,02,7,玻璃试剂瓶中的着色清水倒入烧杯至标记线,玻璃试剂瓶中的着色清水倒入烧杯至标记线,实验室,液体倾倒/容器转移,试剂瓶中的倒入烧杯至标记线,Laboratory,Pour / Container Transfer,Batch 4,Pour colored water from a glass reagent bottle into a beaker to a target line
batch4:008,batch4,第四批数据-补充了额外的数据(1).pdf,5,03,8,通过玻璃漏斗将烧杯中的缓冲液转移回玻璃试剂瓶,通过玻璃漏斗将烧杯中的缓冲液转移回玻璃试剂瓶,实验室,液体倾倒/容器转移,通过漏斗将烧杯中的缓冲液转移回试剂瓶,Laboratory,Pour / Container Transfer,Batch 4,Transfer buffer from a beaker back into a glass reagent bottle through a glass funnel
batch4:009,batch4,第四批数据-补充了额外的数据(1).pdf,5,04,9,将烧杯中的培养液转移到玻璃锥形瓶,将烧杯中的培养液转移到玻璃锥形瓶,实验室,液体倾倒/容器转移,将烧杯中的培养液转移到锥形瓶,Laboratory,Pour / Container Transfer,Batch 4,Transfer culture-medium simulant from a beaker into a glass Erlenmeyer flask
batch4:010,batch4,第四批数据-补充了额外的数据(1).pdf,5,05,10,双手持玻璃锥形瓶做圆周摇匀,双手持玻璃锥形瓶做圆周摇匀,实验室,混合/搅拌/摇匀,双手持锥形瓶做圆周摇匀,Laboratory,Mix / Stir / Agitate,Batch 4,Swirl a glass Erlenmeyer flask with both hands
batch4:011,batch4,第四批数据-补充了额外的数据(1).pdf,6,06,11,重新旋紧使用后的玻璃试剂瓶盖,重新旋紧使用后的玻璃试剂瓶盖,实验室,开合/密封,重新旋紧使用后的试剂瓶盖,Laboratory,Open / Close / Seal,Batch 4,Retighten the cap on a used glass reagent bottle
batch4:012,batch4,第四批数据-补充了额外的数据(1).pdf,6,07,12,将密闭玻璃试剂瓶上下倒置混匀,将密闭玻璃试剂瓶上下倒置混匀,实验室,混合/搅拌/摇匀,将试剂瓶上下倒置混匀,Laboratory,Mix / Stir / Agitate,Batch 4,Mix a sealed glass reagent bottle by repeated inversion
batch4:013,batch4,第四批数据-补充了额外的数据(1).pdf,6,08,13,用冲洗瓶冲洗玻璃试管并将冲洗液倒入废液烧杯,用冲洗瓶冲洗玻璃试管并将冲洗液倒入废液烧杯,实验室,清洗/擦拭/排液,用冲洗瓶冲洗试管并将冲洗液倒入废液烧杯,Laboratory,Rinse / Wipe / Drain,Batch 4,Rinse a glass test tube with a wash bottle and pour the rinse into a waste beaker
batch4:014,batch4,第四批数据-补充了额外的数据(1).pdf,7,09,14,用试管刷清洁玻璃试管内壁,用试管刷清洁玻璃试管内壁,实验室,清洗/擦拭/排液,用试管刷清洁试管内壁,Laboratory,Rinse / Wipe / Drain,Batch 4,Clean the inner wall of a glass test tube with a test-tube brush
batch4:015,batch4,第四批数据-补充了额外的数据(1).pdf,7,10,15,用试管刷清洁玻璃试剂瓶内壁,用试管刷清洁玻璃试剂瓶内壁,实验室,清洗/擦拭/排液,用试管刷清洁试剂瓶内壁,Laboratory,Rinse / Wipe / Drain,Batch 4,Clean the inner wall of a glass reagent bottle with a bottle brush
batch4:016,batch4,第四批数据-补充了额外的数据(1).pdf,7,11,16,用清水旋洗玻璃烧杯并将冲洗液倒入废液烧杯,用清水旋洗玻璃烧杯并将冲洗液倒入废液烧杯,实验室,清洗/擦拭/排液,用旋洗烧杯并将冲洗液倒入废液烧杯,Laboratory,Rinse / Wipe / Drain,Batch 4,Swirl-rinse a glass beaker with water and pour the rinse into a waste beaker
batch4:017,batch4,第四批数据-补充了额外的数据(1).pdf,7,12,17,使用1 mL移液枪将烧杯中的液体等量分装到两支玻璃试管,使用1 mL移液枪将烧杯中的液体等量分装到两支玻璃试管,实验室,移液/滴加/注射,使用移液枪将烧杯中的液体等量分装到两支试管,Laboratory,Pipette / Dispense / Inject,Batch 4,Use a 1 mL pipette to dispense equal volumes from a beaker into two glass test tubes
batch4:018,batch4,第四批数据-补充了额外的数据(1).pdf,8,13,18,使用1 mL移液枪在玻璃试管内吸打混匀液体,使用1 mL移液枪在玻璃试管内吸打混匀液体,实验室,移液/滴加/注射,使用移液枪在试管内吸打混匀液体,Laboratory,Pipette / Dispense / Inject,Batch 4,Mix liquid inside a glass test tube by pipetting up and down with a 1 mL pipette
batch4:019,batch4,第四批数据-补充了额外的数据(1).pdf,8,14,19,将烧杯中的缓冲液倒入玻璃量筒至目标刻度,将烧杯中的缓冲液倒入玻璃量筒至目标刻度,实验室,液体倾倒/容器转移,将烧杯中的缓冲液倒入量筒至目标刻度,Laboratory,Pour / Container Transfer,Batch 4,Pour buffer from a beaker into a glass graduated cylinder to a target mark
batch4:020,batch4,第四批数据-补充了额外的数据(1).pdf,8,15,20,将玻璃量筒中的液体转移到玻璃锥形瓶,将玻璃量筒中的液体转移到玻璃锥形瓶,实验室,液体倾倒/容器转移,将量筒中的液体转移到锥形瓶,Laboratory,Pour / Container Transfer,Batch 4,Transfer liquid from a glass graduated cylinder into a glass Erlenmeyer flask
batch4:021,batch4,第四批数据-补充了额外的数据(1).pdf,8,16,21,使用玻璃棒搅拌烧杯中的缓冲液至颗粒基本溶解,使用玻璃棒搅拌烧杯中的缓冲液至颗粒基本溶解,实验室,混合/搅拌/摇匀,使用棒搅拌烧杯中的缓冲液至颗粒基本溶解,Laboratory,Mix / Stir / Agitate,Batch 4,Stir buffer in a beaker with a glass rod until most particles dissolve
batch4:022,batch4,第四批数据-补充了额外的数据(1).pdf,10,01,22,给50 mL离心管粘贴样品标签,给50 mL离心管粘贴样品标签,实验室,测量/标记/文档操作,给离心管粘贴样品标签,Laboratory,Measure / Label / Document,Batch 4,Apply a sample label to a 50 mL centrifuge tube
batch4:023,batch4,第四批数据-补充了额外的数据(1).pdf,10,02,23,用铝箔覆盖玻璃烧杯口,用铝箔覆盖玻璃烧杯口,实验室,柔性物/包扎/包装/折叠,用铝箔覆盖烧杯口,Laboratory,Flexible Materials / Wrap / Fold,Batch 4,Cover a glass beaker with aluminum foil
batch4:024,batch4,第四批数据-补充了额外的数据(1).pdf,10,03,24,从玻璃烧杯口取下铝箔盖,从玻璃烧杯口取下铝箔盖,实验室,开合/密封,从烧杯口取下铝箔盖,Laboratory,Open / Close / Seal,Batch 4,Remove the aluminum-foil cover from a glass beaker
batch4:025,batch4,第四批数据-补充了额外的数据(1).pdf,11,04,25,垂直取下玻璃培养皿上盖,垂直取下玻璃培养皿上盖,实验室,开合/密封,垂直取下培养皿上盖,Laboratory,Open / Close / Seal,Batch 4,Lift the lid vertically from a glass Petri dish
batch4:026,batch4,第四批数据-补充了额外的数据(1).pdf,11,05,26,对准并盖回玻璃培养皿上盖,对准并盖回玻璃培养皿上盖,实验室,开合/密封,对准并盖回培养皿上盖,Laboratory,Open / Close / Seal,Batch 4,Align and replace the lid on a glass Petri dish
batch4:027,batch4,第四批数据-补充了额外的数据(1).pdf,11,06,27,将锥形瓶中的培养基模拟液倒入玻璃培养皿,将锥形瓶中的培养基模拟液倒入玻璃培养皿,实验室,液体倾倒/容器转移,将锥形瓶中的培养基液倒入培养皿,Laboratory,Pour / Container Transfer,Batch 4,Pour culture-medium simulant from an Erlenmeyer flask into a glass Petri dish
batch4:028,batch4,第四批数据-补充了额外的数据(1).pdf,11,07,28,将装有液体的培养皿水平移动到托盘中,将装有液体的培养皿水平移动到托盘中,实验室,抓取/搬运/收纳,将装有液体的培养皿水平移动到托盘中,Laboratory,Pick / Move / Place,Batch 4,Move a Petri dish containing liquid horizontally onto a tray
batch4:029,batch4,第四批数据-补充了额外的数据(1).pdf,11,08,29,使用1 mL移液枪向稀释液中加入母液,使用1 mL移液枪向稀释液中加入母液,实验室,移液/滴加/注射,使用移液枪向稀释液中加入母液,Laboratory,Pipette / Dispense / Inject,Batch 4,Use a 1 mL pipette to add stock solution to a dilution tube
batch4:030,batch4,第四批数据-补充了额外的数据(1).pdf,12,09,30,将密闭离心管在双掌间缓慢滚动混匀,将密闭离心管在双掌间缓慢滚动混匀,实验室,混合/搅拌/摇匀,将离心管在双掌间缓慢滚动混匀,Laboratory,Mix / Stir / Agitate,Batch 4,Roll a sealed centrifuge tube slowly between both palms to mix
batch4:031,batch4,第四批数据-补充了额外的数据(1).pdf,12,10,31,将圆形滤纸对折成四分之一圆,将圆形滤纸对折成四分之一圆,实验室,固体处理/称量/过滤,将圆形滤纸对折成四分之一圆,Laboratory,Solids / Weighing / Filtration,Batch 4,Fold a circular filter paper into a quarter circle
batch4:032,batch4,第四批数据-补充了额外的数据(1).pdf,13,11,32,将折叠滤纸展开并放入玻璃漏斗,将折叠滤纸展开并放入玻璃漏斗,实验室,固体处理/称量/过滤,将折叠滤纸展开并放入漏斗,Laboratory,Solids / Weighing / Filtration,Batch 4,Open folded filter paper into a cone and place it in a glass funnel
batch4:033,batch4,第四批数据-补充了额外的数据(1).pdf,13,12,33,使用冲洗瓶润湿漏斗中的滤纸,使用冲洗瓶润湿漏斗中的滤纸,实验室,固体处理/称量/过滤,使用冲洗瓶润湿漏斗中的滤纸,Laboratory,Solids / Weighing / Filtration,Batch 4,Wet filter paper in a funnel with a wash bottle
batch4:034,batch4,第四批数据-补充了额外的数据(1).pdf,14,13,34,将温度计插入烧杯中的液体,将温度计插入烧杯中的液体,实验室,插入/拔出/对准,将温度计插入烧杯中的液体,Laboratory,Insert / Remove / Align,Batch 4,Insert a thermometer into liquid in a beaker
batch4:035,batch4,第四批数据-补充了额外的数据(1).pdf,14,14,35,将空称量船放到电子天平并归零,将空称量船放到电子天平并归零,实验室,固体处理/称量/过滤,将称量船放到电子天平并归零,Laboratory,Solids / Weighing / Filtration,Batch 4,Place an empty weighing boat on an electronic balance and tare it
batch4:036,batch4,第四批数据-补充了额外的数据(1).pdf,14,15,36,使用药匙称取目标质量的粗盐,使用药匙称取目标质量的粗盐,实验室,固体处理/称量/过滤,使用药匙称取目标质量的粗盐,Laboratory,Solids / Weighing / Filtration,Batch 4,Use a spatula to weigh a target mass of coarse salt
batch4:037,batch4,第四批数据-补充了额外的数据(1).pdf,14,16,37,将称量纸上的粗盐转移到烧杯中,将称量纸上的粗盐转移到烧杯中,实验室,固体处理/称量/过滤,将称量纸上的粗盐转移到烧杯中,Laboratory,Solids / Weighing / Filtration,Batch 4,Transfer coarse salt from weighing paper into a beaker
batch4:038,batch4,第四批数据-补充了额外的数据(1).pdf,14,17,38,使用冲洗瓶将称量纸残留颗粒冲入烧杯,使用冲洗瓶将称量纸残留颗粒冲入烧杯,实验室,固体处理/称量/过滤,使用冲洗瓶将称量纸残留颗粒冲入烧杯,Laboratory,Solids / Weighing / Filtration,Batch 4,Use a wash bottle to rinse residual particles from weighing paper into a beaker
batch4:039,batch4,第四批数据-补充了额外的数据(1).pdf,15,18,39,使用胶头滴管向玻璃培养皿中滴加模拟培养液,使用胶头滴管向玻璃培养皿中滴加模拟培养液,实验室,移液/滴加/注射,使用胶头滴管向培养皿中滴加培养液,Laboratory,Pipette / Dispense / Inject,Batch 4,Use a bulb dropper to add simulated culture medium to a glass Petri dish
batch4:040,batch4,第四批数据-补充了额外的数据(1).pdf,15,19,40,使用1 mL移液枪向玻璃培养皿中定量加液,使用1 mL移液枪向玻璃培养皿中定量加液,实验室,移液/滴加/注射,使用移液枪向培养皿中定量加液,Laboratory,Pipette / Dispense / Inject,Batch 4,Use a 1 mL pipette to dispense a measured volume into a glass Petri dish
batch4:041,batch4,第四批数据-补充了额外的数据(1).pdf,15,20,41,向装有液体的培养皿中加入少量粗盐颗粒,向装有液体的培养皿中加入少量粗盐颗粒,实验室,固体处理/称量/过滤,向装有液体的培养皿中加入粗盐颗粒,Laboratory,Solids / Weighing / Filtration,Batch 4,Add a small amount of coarse salt to a Petri dish containing liquid
batch4:042,batch4,第四批数据-补充了额外的数据(1).pdf,16,21,42,在盖合后的玻璃培养皿底皿外侧粘贴样品标签,在盖合后的玻璃培养皿底皿外侧粘贴样品标签,实验室,测量/标记/文档操作,在盖合后的培养皿底皿外侧粘贴样品标签,Laboratory,Measure / Label / Document,Batch 4,Apply a sample label to the outside of a closed glass Petri-dish base
batch5_extra:001,batch5_extra,第五批额外补充任务(1)(1).pdf,2,01,1,旋开宽口塑料试剂瓶盖并放到托盘中,旋开宽口塑料试剂瓶盖并放到托盘中,实验室,开合/密封,旋开试剂瓶盖并放到托盘中,Laboratory,Open / Close / Seal,Batch 5 Supplement,Unscrew a wide-mouth plastic reagent-bottle cap and place it on a tray
batch5_extra:002,batch5_extra,第五批额外补充任务(1)(1).pdf,2,02,2,对准并旋紧宽口塑料试剂瓶盖,对准并旋紧宽口塑料试剂瓶盖,实验室,开合/密封,对准并旋紧试剂瓶盖,Laboratory,Open / Close / Seal,Batch 5 Supplement,Align and tighten a wide-mouth plastic reagent-bottle cap
batch5_extra:003,batch5_extra,第五批额外补充任务(1)(1).pdf,2,03,3,将空塑料量筒从托盘取出并直立放到防滑垫,将空塑料量筒从托盘取出并直立放到防滑垫,实验室,抓取/搬运/收纳,将量筒从托盘取出并直立放到防滑垫,Laboratory,Pick / Move / Place,Batch 5 Supplement,Remove an empty plastic graduated cylinder from a tray and place it upright on a non-slip mat
batch5_extra:004,batch5_extra,第五批额外补充任务(1)(1).pdf,2,04,4,将清洗后的塑料量筒倒置放到沥水架,将清洗后的塑料量筒倒置放到沥水架,实验室,清洗/擦拭/排液,将量筒倒置放到沥水架,Laboratory,Rinse / Wipe / Drain,Batch 5 Supplement,Invert a cleaned plastic graduated cylinder onto a drying rack
batch5_extra:005,batch5_extra,第五批额外补充任务(1)(1).pdf,3,05,5,将橡胶塞压入普通大口试管,将橡胶塞压入普通大口试管,实验室,插入/拔出/对准,将橡胶塞压入大口试管,Laboratory,Insert / Remove / Align,Batch 5 Supplement,Press a rubber stopper into a standard wide-mouth test tube
batch5_extra:006,batch5_extra,第五批额外补充任务(1)(1).pdf,3,06,6,从普通大口试管口拔出橡胶塞,从普通大口试管口拔出橡胶塞,实验室,插入/拔出/对准,从大口试管口拔出橡胶塞,Laboratory,Insert / Remove / Align,Batch 5 Supplement,Remove a rubber stopper from a standard wide-mouth test tube
batch5_extra:007,batch5_extra,第五批额外补充任务(1)(1).pdf,3,07,7,使用试管夹从试管架取出空试管,使用试管夹从试管架取出空试管,实验室,工具操作/装配/固定,使用试管夹从试管架取出试管,Laboratory,Tool Use / Assembly / Fixing,Batch 5 Supplement,Use a test-tube holder to remove an empty test tube from a rack
